Index,Name,Description,Brand,Category,Subcategory,Price,Currency,Discount_Pct,Final_Price,Tax_Rate,Stock,EAN,SKU,Internal_ID,Color,Size,Material,Weight_kg,Length_cm,Width_cm,Height_cm,Rating,Review_Count,Availability,Supplier,Country_of_Origin,Warranty_Months,Tags,Image_URL,Created_At,Updated_At
2251,Bata Loafers Maroon 10,Purpose stage task century market think medical from suddenly office dog social.,Bata,Footwear,Loafers,74283.58,INR,40,44570.15,0,163,9859216822644,BAT-FOO-002251,PROD-1B047977,Maroon,10,Silk,12.33,97.6,2.2,48.4,2.9,18902,Discontinued,Duran and Sons,Italy,6,Footwear|Loafers|Bata|Maroon|Silk,https://cdn.example.com/products/prod-1b047977.jpg,2024-07-02 05:10:01,2025-02-25 05:10:01
2252,VIP Formal Shirts Blue One Size,Quickly already kitchen no much born down reach mind wear.,VIP,Clothing,Formal Shirts,88939.83,INR,30,62257.88,28,2090,1926039607012,VIP-CLO-002252,PROD-E16D4D62,Blue,One Size,Silk,18.45,66.6,51.8,75.9,3.0,23300,Limited Stock,Ruiz-Solis,South Korea,24,Clothing|Formal Shirts|VIP|Blue|Silk,https://cdn.example.com/products/prod-e16d4d62.jpg,2022-01-20 15:35:06,2022-06-02 15:35:06
2253,Wildcraft Notebooks Rose Gold 7,Should century six performance kind worker science market federal sell.,Wildcraft,Books & Stationery,Notebooks,67099.88,EUR,40,40259.93,5,4802,0268766085543,WIL-BOO-002253,PROD-0605F05B,Rose Gold,7,Wood,24.5,20.2,149.0,68.8,1.9,19503,Discontinued,Garcia and Sons,India,6,Books & Stationery|Notebooks|Wildcraft|Rose Gold|Wood,https://cdn.example.com/products/prod-0605f05b.jpg,2023-06-30 22:58:46,2023-07-11 22:58:46
2254,Samsung Board Games Olive 8,Line large lot little southern try buy future glass amount each.,Samsung,Toys & Games,Board Games,66047.54,INR,5,62745.16,5,1286,7468897058529,SAM-TOY-002254,PROD-E2CB4DB7,Olive,8,Stainless Steel,12.99,86.1,109.4,67.0,1.6,14851,Pre-Order,Lawrence-Brown,Japan,6,Toys & Games|Board Games|Samsung|Olive|Stainless Steel,https://cdn.example.com/products/prod-e2cb4db7.jpg,2023-08-30 13:46:21,2024-03-24 13:46:21
2255,Bosch Baby Care Green 8,Discussion market religious difficult option short or character lot relationship technology never protect election grow get whom ground which employee practice certainly education.,Bosch,Beauty & Health,Baby Care,54992.08,INR,0,54992.08,5,3310,2726710424377,BOS-BEA-002255,PROD-F67D84CE,Green,8,Nylon,8.79,114.8,138.9,90.7,4.3,24834,In Stock,Boone-Mcclure,Germany,18,Beauty & Health|Baby Care|Bosch|Green|Nylon,https://cdn.example.com/products/prod-f67d84ce.jpg,2022-05-07 11:59:46,2022-12-16 11:59:46
2256,Fastrack Non-Fiction Blue 42,Might know raise door over religious.,Fastrack,Books & Stationery,Non-Fiction,50900.38,USD,60,20360.15,5,3331,8720109319132,FAS-BOO-002256,PROD-63F83B6A,Blue,42,Glass,9.96,94.7,36.1,73.3,2.9,5327,Discontinued,King Group,South Korea,18,Books & Stationery|Non-Fiction|Fastrack|Blue|Glass,https://cdn.example.com/products/prod-63f83b6a.jpg,2024-08-06 22:20:34,2025-03-01 22:20:34
2257,Wildcraft Laptops Grey 6,Radio draw may south media economic wear citizen start although evening remember will coach focus research opportunity hotel laugh art.,Wildcraft,Electronics,Laptops,87034.86,INR,40,52220.92,12,2695,0949836287967,WIL-ELE-002257,PROD-C3845EDD,Grey,6,Cotton,10.87,182.1,125.7,38.8,3.0,7952,Limited Stock,Barnes Group,Germany,12,Electronics|Laptops|Wildcraft|Grey|Cotton,https://cdn.example.com/products/prod-c3845edd.jpg,2023-10-21 13:24:33,2024-03-17 13:24:33
2258,Bajaj Furniture Black 6,Market theory yeah figure quality mission leave finish leader deal.,Bajaj,Home & Kitchen,Furniture,78193.5,INR,60,31277.4,0,3460,4517925433623,BAJ-HOM-002258,PROD-6924B5B8,Black,6,Nylon,8.95,79.7,111.4,68.5,3.2,20191,In Stock,"Stevens, Davis and Garcia",Germany,36,Home & Kitchen|Furniture|Bajaj|Black|Nylon,https://cdn.example.com/products/prod-6924b5b8.jpg,2024-10-06 14:09:11,2025-06-05 14:09:11
2259,Prestige Treadmills Green 6,Part none once notice care stage trouble scene plant market daughter father leader wait argue hospital drug each single right future economy.,Prestige,Sports & Fitness,Treadmills,23584.72,INR,0,23584.72,28,2600,4344410871406,PRE-SPO-002259,PROD-9589DAF4,Green,6,Glass,12.06,72.8,143.8,37.1,1.2,23628,Out of Stock,Thomas-Scott,Vietnam,0,Sports & Fitness|Treadmills|Prestige|Green|Glass,https://cdn.example.com/products/prod-9589daf4.jpg,2022-03-17 17:48:41,2022-09-28 17:48:41
2260,Panasonic Building Blocks Green 11,Executive outside impact newspaper building reflect.,Panasonic,Toys & Games,Building Blocks,25529.49,INR,20,20423.59,28,3461,7823120368828,PAN-TOY-002260,PROD-2C1959A4,Green,11,Wool,19.39,38.2,87.0,47.8,4.6,7203,In Stock,Williams-Watts,Germany,18,Toys & Games|Building Blocks|Panasonic|Green|Wool,https://cdn.example.com/products/prod-2c1959a4.jpg,2024-01-08 03:28:44,2024-02-19 03:28:44
2261,Casio Remote Control Navy XS,Leg teacher who scene lead right stock do relationship record true.,Casio,Toys & Games,Remote Control,95299.95,INR,15,81004.96,0,1901,4890760935850,CAS-TOY-002261,PROD-87C6A14F,Navy,XS,Wool,5.9,45.4,19.2,47.1,4.5,7363,Pre-Order,Sheppard Inc,South Korea,12,Toys & Games|Remote Control|Casio|Navy|Wool,https://cdn.example.com/products/prod-87c6a14f.jpg,2022-01-15 12:51:46,2022-03-10 12:51:46
2262,Apple GPS Red XXL,Enjoy make six million possible really movement what on street send stock.,Apple,Automotive,GPS,18578.72,USD,0,18578.72,0,2717,2649495857256,APP-AUT-002262,PROD-E276E05E,Red,XXL,Ceramic,19.02,69.7,88.2,20.0,1.6,11321,In Stock,Montgomery-Duran,South Korea,18,Automotive|GPS|Apple|Red|Ceramic,https://cdn.example.com/products/prod-e276e05e.jpg,2024-02-17 11:34:06,2024-12-18 11:34:06
2263,Under Armour Cameras Cyan M,Whatever prove staff beautiful relationship floor effort himself contain expert.,Under Armour,Electronics,Cameras,23771.31,EUR,10,21394.18,0,1885,8487535311542,UND-ELE-002263,PROD-90602CAB,Cyan,M,Denim,7.55,49.9,133.9,26.0,2.2,6618,Pre-Order,"Brown, Fitzgerald and Davis",Italy,12,Electronics|Cameras|Under Armour|Cyan|Denim,https://cdn.example.com/products/prod-90602cab.jpg,2022-04-04 00:40:26,2023-03-23 00:40:26
2264,Wildcraft Haircare Beige One Size,Character life seat reason position reason offer increase threat possible six program group week similar rock recent education.,Wildcraft,Beauty & Health,Haircare,64856.99,INR,0,64856.99,18,1553,0871681381968,WIL-BEA-002264,PROD-F5F7EF28,Beige,One Size,Denim,25.68,52.3,114.3,38.5,3.7,5044,Out of Stock,Riley-Ramirez,Bangladesh,18,Beauty & Health|Haircare|Wildcraft|Beige|Denim,https://cdn.example.com/products/prod-f5f7ef28.jpg,2023-07-15 08:28:53,2023-08-09 08:28:53
2265,Levi's Tote Bags Brown One Size,Consider task card tell everyone sing wrong listen will open can radio hospital you newspaper book.,Levi's,Bags & Luggage,Tote Bags,77280.37,INR,20,61824.3,28,3788,3828436441634,LEV-BAG-002265,PROD-9EF5BADB,Brown,One Size,Wood,12.93,2.7,148.3,10.1,2.6,18947,In Stock,Drake Group,Italy,12,Bags & Luggage|Tote Bags|Levi's|Brown|Wood,https://cdn.example.com/products/prod-9ef5badb.jpg,2022-11-27 21:10:21,2023-02-23 21:10:21
2266,Polo Outdoor Toys Purple 30,Level lay cut spend big even security may.,Polo,Toys & Games,Outdoor Toys,32392.87,INR,15,27533.94,0,2773,3102257266660,POL-TOY-002266,PROD-D4273356,Purple,30,Aluminium,2.6,153.7,2.3,48.5,2.9,12021,Limited Stock,Ayala-Barnes,India,36,Toys & Games|Outdoor Toys|Polo|Purple|Aluminium,https://cdn.example.com/products/prod-d4273356.jpg,2022-01-18 16:11:45,2022-03-11 16:11:45
2267,Acer Baby Care Black L,Republican call plant reflect letter body mother former mouth charge help garden detail face international.,Acer,Beauty & Health,Baby Care,45610.84,USD,5,43330.3,5,1485,9937323594408,ACE-BEA-002267,PROD-61DFFE65,Black,L,Linen,5.84,148.4,94.3,15.5,1.3,11725,Out of Stock,Morris-Norman,Germany,36,Beauty & Health|Baby Care|Acer|Black|Linen,https://cdn.example.com/products/prod-61dffe65.jpg,2024-08-29 14:11:20,2025-05-06 14:11:20
2268,Puma Covers Green 38,Else car behind beat be far build information foot range state fight common eat.,Puma,Automotive,Covers,63612.82,INR,30,44528.97,18,240,0269104391319,PUM-AUT-002268,PROD-DFFA1918,Green,38,Wood,21.48,6.1,105.0,20.4,4.2,9831,In Stock,"Harrison, Barber and Juarez",Germany,36,Automotive|Covers|Puma|Green|Wood,https://cdn.example.com/products/prod-dffa1918.jpg,2022-06-23 14:03:27,2023-05-06 14:03:27
2269,Puma Cricket Gear Olive One Size,Small international character money line protect woman again pay film also fear story those right business Democrat executive past strategy.,Puma,Sports & Fitness,Cricket Gear,11736.21,INR,30,8215.35,18,4850,7238558075468,PUM-SPO-002269,PROD-EC1F0DF5,Olive,One Size,Metal,25.21,110.7,101.9,82.3,1.9,20803,Pre-Order,Ruiz-Kelly,Bangladesh,0,Sports & Fitness|Cricket Gear|Puma|Olive|Metal,https://cdn.example.com/products/prod-ec1f0df5.jpg,2022-01-26 10:56:48,2022-04-06 10:56:48
2270,Zara Travel Pouches Blue 9,Different usually marriage industry main mouth trip responsibility ago couple firm down couple score former sport discuss like dog table.,Zara,Bags & Luggage,Travel Pouches,75733.35,INR,30,53013.35,28,4583,1148980825370,ZAR-BAG-002270,PROD-F934BEF4,Blue,9,Polyester,20.12,198.9,22.8,74.3,4.8,9820,Pre-Order,Bullock-Blake,India,6,Bags & Luggage|Travel Pouches|Zara|Blue|Polyester,https://cdn.example.com/products/prod-f934bef4.jpg,2023-11-30 07:07:35,2024-03-23 07:07:35
2271,Sony Smartphones Maroon 36,Nearly although various could effect design huge clear them size always exist treatment.,Sony,Electronics,Smartphones,87959.27,INR,5,83561.31,0,3685,0973856104317,SON-ELE-002271,PROD-24D45169,Maroon,36,Plastic,1.15,145.4,7.1,11.1,1.4,4984,Out of Stock,"Tran, Hernandez and Norris",India,6,Electronics|Smartphones|Sony|Maroon|Plastic,https://cdn.example.com/products/prod-24d45169.jpg,2023-08-28 21:37:29,2024-08-13 21:37:29
2272,Decathlon Monitors Orange XS,Perhaps part against way mention she push name may also tend few charge stop quickly beat process character only human cover anyone.,Decathlon,Electronics,Monitors,50313.25,USD,0,50313.25,28,2898,2112796411088,DEC-ELE-002272,PROD-837C7129,Orange,XS,Nylon,23.18,125.7,2.9,71.3,4.4,478,Limited Stock,Ramirez and Sons,China,18,Electronics|Monitors|Decathlon|Orange|Nylon,https://cdn.example.com/products/prod-837c7129.jpg,2024-11-28 04:39:01,2025-11-24 04:39:01
2273,Under Armour Tote Bags Black 8,Bed information approach including visit meet special beat break police owner company themselves.,Under Armour,Bags & Luggage,Tote Bags,87571.83,INR,0,87571.83,18,4194,8427573546735,UND-BAG-002273,PROD-84A1F754,Black,8,Wood,8.01,77.2,10.7,68.0,2.6,6334,In Stock,Lawson-Sanders,India,24,Bags & Luggage|Tote Bags|Under Armour|Black|Wood,https://cdn.example.com/products/prod-84a1f754.jpg,2024-02-28 16:41:23,2024-09-30 16:41:23
2274,Prestige Headphones Green XXL,Get along wall claim reach onto enjoy thought friend grow necessary per.,Prestige,Electronics,Headphones,40033.33,EUR,70,12010.0,18,1196,0423859116003,PRE-ELE-002274,PROD-3B9DB432,Green,XXL,Plastic,14.16,100.8,120.6,3.1,3.1,10641,Out of Stock,Hernandez-Fry,India,0,Electronics|Headphones|Prestige|Green|Plastic,https://cdn.example.com/products/prod-3b9db432.jpg,2023-09-28 12:34:11,2024-05-12 12:34:11
2275,Fossil Dolls Beige M,Begin little difference model often several easy level action wait phone successful reveal also since activity concern growth to weight arm.,Fossil,Toys & Games,Dolls,55224.19,INR,5,52462.98,0,4610,9220387573442,FOS-TOY-002275,PROD-621FF438,Beige,M,Aluminium,16.09,27.5,70.1,30.5,1.2,15701,In Stock,Delacruz Inc,Taiwan,6,Toys & Games|Dolls|Fossil|Beige|Aluminium,https://cdn.example.com/products/prod-621ff438.jpg,2022-06-03 08:19:41,2023-04-03 08:19:41
2276,LG Travel Pouches Beige 6,Together decision far forward song leader simply pay set stand administration imagine bill against tax guess.,LG,Bags & Luggage,Travel Pouches,63507.59,EUR,0,63507.59,28,4679,6479795530599,LG-BAG-002276,PROD-240F2413,Beige,6,Ceramic,25.73,194.0,23.9,33.1,2.8,2767,In Stock,"Brown, Perry and Bailey",India,18,Bags & Luggage|Travel Pouches|LG|Beige|Ceramic,https://cdn.example.com/products/prod-240f2413.jpg,2024-07-12 05:35:13,2024-12-10 05:35:13
2277,Decathlon Jeans Pink 30,Claim which smile thing effort central thank success politics almost century sport family.,Decathlon,Clothing,Jeans,88203.01,USD,10,79382.71,12,3897,7549779235068,DEC-CLO-002277,PROD-53D76B67,Pink,30,Aluminium,19.45,98.4,39.8,6.1,2.8,20140,Out of Stock,Cabrera-Todd,Japan,6,Clothing|Jeans|Decathlon|Pink|Aluminium,https://cdn.example.com/products/prod-53d76b67.jpg,2023-03-21 10:50:02,2023-12-10 10:50:02
2278,Polo Sling Bags Brown XS,Physical again particularly training even enjoy very lay appear discussion who already draw hotel evening.,Polo,Bags & Luggage,Sling Bags,83593.28,USD,30,58515.3,28,1836,2573838054692,POL-BAG-002278,PROD-79453628,Brown,XS,Leather,11.22,27.1,58.9,66.8,3.6,16583,Pre-Order,Miller Inc,Japan,24,Bags & Luggage|Sling Bags|Polo|Brown|Leather,https://cdn.example.com/products/prod-79453628.jpg,2023-11-19 04:20:09,2024-11-01 04:20:09
2279,Bajaj Resistance Bands Beige XXL,Trouble our there Mr all act wonder just the huge run such town sound perform almost standard only short run.,Bajaj,Sports & Fitness,Resistance Bands,3538.61,INR,60,1415.44,0,1733,6275111283183,BAJ-SPO-002279,PROD-81D3F6D6,Beige,XXL,Rubber,18.94,139.6,40.7,82.6,2.0,3319,Discontinued,"Webster, Dean and Mccoy",USA,6,Sports & Fitness|Resistance Bands|Bajaj|Beige|Rubber,https://cdn.example.com/products/prod-81d3f6d6.jpg,2022-10-10 21:49:11,2022-10-15 21:49:11
2280,Sony Remote Control Orange 34,Option hear baby middle boy area read Congress above southern practice night future maintain event interesting available yeah save million.,Sony,Toys & Games,Remote Control,48623.07,INR,0,48623.07,0,3148,5729699058844,SON-TOY-002280,PROD-BD68CF31,Orange,34,Polyester,15.43,78.5,139.7,53.6,3.8,14472,Limited Stock,Vaughan and Sons,China,6,Toys & Games|Remote Control|Sony|Orange|Polyester,https://cdn.example.com/products/prod-bd68cf31.jpg,2023-06-07 13:12:19,2024-03-01 13:12:19
2281,Whirlpool Clutches Teal XL,If discuss brother very bring security set far outside security.,Whirlpool,Bags & Luggage,Clutches,82958.11,INR,0,82958.11,0,2385,0927869568161,WHI-BAG-002281,PROD-1721B21B,Teal,XL,Stainless Steel,11.86,158.1,118.2,61.5,3.4,11241,In Stock,Gray LLC,Germany,24,Bags & Luggage|Clutches|Whirlpool|Teal|Stainless Steel,https://cdn.example.com/products/prod-1721b21b.jpg,2023-05-27 14:30:50,2023-07-31 14:30:50
2282,Prestige Tablets Teal 11,But its street friend hospital generation pay during visit woman compare leader forget religious each professional message about.,Prestige,Electronics,Tablets,61301.49,INR,0,61301.49,12,4743,7307110957907,PRE-ELE-002282,PROD-72F60A6F,Teal,11,Polyester,10.41,29.7,80.3,5.2,2.8,24338,In Stock,Johnson Inc,Germany,0,Electronics|Tablets|Prestige|Teal|Polyester,https://cdn.example.com/products/prod-72f60a6f.jpg,2022-08-31 19:13:07,2023-07-04 19:13:07
2283,HP Bath Rose Gold 42,In wait evidence painting foot purpose investment window military talk customer fact radio I wall his war one manage perform resource live.,HP,Home & Kitchen,Bath,97768.14,INR,30,68437.7,12,137,7727161668193,HP-HOM-002283,PROD-F7964862,Rose Gold,42,Leather,23.26,190.2,145.2,84.7,1.4,7962,Discontinued,Johnson PLC,Japan,0,Home & Kitchen|Bath|HP|Rose Gold|Leather,https://cdn.example.com/products/prod-f7964862.jpg,2023-07-07 06:41:20,2024-06-13 06:41:20
2284,Lacoste Seat Covers Black XS,Yourself understand hotel someone during interest recent attention almost appear hope.,Lacoste,Automotive,Seat Covers,81562.34,INR,70,24468.7,5,2462,8731436393597,LAC-AUT-002284,PROD-AE8E4C52,Black,XS,Cotton,27.22,110.9,145.8,65.0,1.5,17050,Pre-Order,"Ramirez, Dillon and Watson",Italy,12,Automotive|Seat Covers|Lacoste|Black|Cotton,https://cdn.example.com/products/prod-ae8e4c52.jpg,2022-03-18 03:57:11,2022-12-02 03:57:11
2285,HP Air Fresheners Orange 10,Dog physical hear still heart box carry speak receive raise hotel rule fire production run both same available only dark.,HP,Automotive,Air Fresheners,50571.71,INR,25,37928.78,0,4279,3629898049426,HP-AUT-002285,PROD-21D5E6DB,Orange,10,Silk,26.1,3.5,101.4,29.2,2.7,9117,In Stock,Wilson LLC,Japan,12,Automotive|Air Fresheners|HP|Orange|Silk,https://cdn.example.com/products/prod-21d5e6db.jpg,2024-09-21 22:04:23,2025-06-21 22:04:23
2286,Nike Sling Bags Maroon 6,Three raise between PM quality mission clearly season behind coach strategy how.,Nike,Bags & Luggage,Sling Bags,81608.62,INR,20,65286.9,18,3046,5348039387927,NIK-BAG-002286,PROD-49D87E22,Maroon,6,Denim,16.02,140.5,100.0,32.9,3.5,24834,Discontinued,Davidson Group,India,6,Bags & Luggage|Sling Bags|Nike|Maroon|Denim,https://cdn.example.com/products/prod-49d87e22.jpg,2023-09-17 15:13:43,2024-05-09 15:13:43
2287,Sony Tablets Yellow 11,Hear yourself forget whatever practice include air practice.,Sony,Electronics,Tablets,1774.15,INR,40,1064.49,12,4357,5836859967127,SON-ELE-002287,PROD-95760029,Yellow,11,Stainless Steel,1.73,77.4,130.8,46.9,1.5,5906,Limited Stock,"Orr, Wade and Hunt",Vietnam,12,Electronics|Tablets|Sony|Yellow|Stainless Steel,https://cdn.example.com/products/prod-95760029.jpg,2022-08-14 23:35:12,2023-04-25 23:35:12
2288,Titan Magazines Yellow 8,Sort already at short same hard foreign teach science prepare.,Titan,Books & Stationery,Magazines,23093.68,INR,40,13856.21,12,1013,5403198511993,TIT-BOO-002288,PROD-B90D5C18,Yellow,8,Denim,11.04,40.8,8.1,31.2,3.9,4913,Pre-Order,Mcpherson and Sons,Italy,24,Books & Stationery|Magazines|Titan|Yellow|Denim,https://cdn.example.com/products/prod-b90d5c18.jpg,2023-11-17 04:29:14,2024-02-19 04:29:14
2289,Whirlpool Mice Beige 30,Certainly good hand direction production practice mission trip statement administration fall move raise onto.,Whirlpool,Electronics,Mice,88564.46,INR,60,35425.78,28,4135,7460169658888,WHI-ELE-002289,PROD-6B47B786,Beige,30,Aluminium,0.89,56.9,15.5,76.8,1.6,9262,Discontinued,Saunders-Cruz,Vietnam,18,Electronics|Mice|Whirlpool|Beige|Aluminium,https://cdn.example.com/products/prod-6b47b786.jpg,2022-10-21 11:22:12,2023-03-05 11:22:12
2290,Under Armour Oral Care Green 30,Kitchen machine significant stage special resource offer blood fact threat teach approach it according see drive board.,Under Armour,Beauty & Health,Oral Care,80928.81,INR,0,80928.81,18,1423,3946728809044,UND-BEA-002290,PROD-7CA84478,Green,30,Glass,20.93,140.8,14.3,28.6,4.8,5971,Discontinued,Arnold and Sons,Taiwan,6,Beauty & Health|Oral Care|Under Armour|Green|Glass,https://cdn.example.com/products/prod-7ca84478.jpg,2024-02-16 22:46:48,2025-02-01 22:46:48
2291,Zara Smartphones Rose Gold XL,Hard political box include myself save cause career wish garden white article break dog within.,Zara,Electronics,Smartphones,4307.13,INR,0,4307.13,5,4047,0531412618519,ZAR-ELE-002291,PROD-A578EF6C,Rose Gold,XL,Metal,21.69,143.5,114.1,51.7,1.9,2719,Limited Stock,Garcia-Frederick,Vietnam,36,Electronics|Smartphones|Zara|Rose Gold|Metal,https://cdn.example.com/products/prod-a578ef6c.jpg,2022-06-05 02:09:11,2023-05-06 02:09:11
2292,Reebok Bike Accessories Beige 7,Grow security same they degree this understand concern cup organization spend this.,Reebok,Automotive,Bike Accessories,7933.4,INR,50,3966.7,12,4111,6550415406910,REE-AUT-002292,PROD-D5D6FF4E,Beige,7,Aluminium,18.81,150.7,86.5,57.4,4.1,4307,In Stock,"Smith, Farmer and Williams",Italy,24,Automotive|Bike Accessories|Reebok|Beige|Aluminium,https://cdn.example.com/products/prod-d5d6ff4e.jpg,2023-07-07 18:05:17,2023-12-01 18:05:17
2293,Wildcraft Lighting Grey M,Successful arm few hotel describe continue political study action.,Wildcraft,Home & Kitchen,Lighting,30713.51,INR,40,18428.11,5,2056,5697605570332,WIL-HOM-002293,PROD-52FB3B60,Grey,M,Wool,10.3,128.4,39.5,72.2,2.0,11932,Out of Stock,Mason LLC,Taiwan,24,Home & Kitchen|Lighting|Wildcraft|Grey|Wool,https://cdn.example.com/products/prod-52fb3b60.jpg,2023-08-11 14:48:06,2024-04-06 14:48:06
2294,Casio Tote Bags Brown 38,Once like where memory fund interview above practice bad TV society his.,Casio,Bags & Luggage,Tote Bags,63740.75,INR,30,44618.52,5,3272,2713905635892,CAS-BAG-002294,PROD-5238BDC9,Brown,38,Stainless Steel,9.78,148.7,92.6,80.1,2.4,5920,Limited Stock,Allen-Hamilton,Bangladesh,36,Bags & Luggage|Tote Bags|Casio|Brown|Stainless Steel,https://cdn.example.com/products/prod-5238bdc9.jpg,2022-10-11 15:15:31,2023-06-30 15:15:31
2295,Nikon Chargers Yellow XXL,Itself success site seat matter threat offer receive visit customer myself.,Nikon,Automotive,Chargers,4208.94,INR,0,4208.94,0,1581,4543889974636,NIK-AUT-002295,PROD-49A9E774,Yellow,XXL,Denim,5.68,190.3,2.2,62.6,2.5,8949,Limited Stock,"Smith, Stevens and Ayala",Japan,0,Automotive|Chargers|Nikon|Yellow|Denim,https://cdn.example.com/products/prod-49a9e774.jpg,2024-12-25 00:33:08,2025-07-08 00:33:08
2296,Puma Decor Purple 40,From short rise performance for contain experience record often treatment sign certainly maintain capital question receive break.,Puma,Home & Kitchen,Decor,99072.11,INR,10,89164.9,12,3877,7992141102299,PUM-HOM-002296,PROD-0D009522,Purple,40,Linen,17.12,122.9,74.2,68.3,1.8,22641,Out of Stock,Brown-Christensen,South Korea,18,Home & Kitchen|Decor|Puma|Purple|Linen,https://cdn.example.com/products/prod-0d009522.jpg,2022-05-20 00:11:16,2023-03-04 00:11:16
2297,Panasonic Resistance Bands Yellow L,Believe plan in suffer another section to music would respond attorney bag marriage.,Panasonic,Sports & Fitness,Resistance Bands,48364.89,INR,0,48364.89,28,4665,6986971712804,PAN-SPO-002297,PROD-E3A3D43C,Yellow,L,Wood,11.73,66.4,30.4,78.6,1.4,4033,Out of Stock,Ball-Mullins,Germany,12,Sports & Fitness|Resistance Bands|Panasonic|Yellow|Wood,https://cdn.example.com/products/prod-e3a3d43c.jpg,2024-11-28 06:35:32,2025-09-24 06:35:32
2298,Samsung Building Blocks Pink 36,Sell card deal that yes street company hospital article between because.,Samsung,Toys & Games,Building Blocks,45654.36,INR,70,13696.31,18,4770,1573342142381,SAM-TOY-002298,PROD-81B8E2F1,Pink,36,Linen,27.92,127.6,144.2,60.2,2.4,23026,Pre-Order,"King, Robertson and Ayers",Germany,36,Toys & Games|Building Blocks|Samsung|Pink|Linen,https://cdn.example.com/products/prod-81b8e2f1.jpg,2023-07-21 09:22:06,2024-05-07 09:22:06
2299,Woodland Monitors Rose Gold 32,Role mission out shoulder detail security service game institution.,Woodland,Electronics,Monitors,76800.28,INR,40,46080.17,0,274,3676180518436,WOO-ELE-002299,PROD-E73BF28A,Rose Gold,32,Leather,23.86,44.8,128.6,52.4,3.0,1660,Pre-Order,Williams Inc,China,36,Electronics|Monitors|Woodland|Rose Gold|Leather,https://cdn.example.com/products/prod-e73bf28a.jpg,2022-11-17 05:05:44,2023-01-04 05:05:44
2300,Zara Sling Bags Black 7,Center memory risk anyone go century news need consider raise too make.,Zara,Bags & Luggage,Sling Bags,70019.03,INR,20,56015.22,0,2931,0604849924864,ZAR-BAG-002300,PROD-D7D9A37E,Black,7,Wood,22.78,134.0,110.1,61.3,3.3,13224,Limited Stock,"Garcia, Juarez and Taylor",India,12,Bags & Luggage|Sling Bags|Zara|Black|Wood,https://cdn.example.com/products/prod-d7d9a37e.jpg,2024-08-23 14:35:12,2024-10-19 14:35:12
2301,Apple Lighting Beige XS,Decision fear pattern trade response who join resource specific claim me southern toward from down prevent property onto blood card gas individual.,Apple,Home & Kitchen,Lighting,85743.73,USD,0,85743.73,5,4076,0946573432865,APP-HOM-002301,PROD-53692C6A,Beige,XS,Ceramic,10.4,149.4,75.9,69.8,4.6,7486,In Stock,Bruce-Gibson,Germany,18,Home & Kitchen|Lighting|Apple|Beige|Ceramic,https://cdn.example.com/products/prod-53692c6a.jpg,2023-01-05 19:59:09,2023-09-11 19:59:09
2302,Adidas Boxing Maroon L,However simple here left wish determine same over model put against note writer.,Adidas,Sports & Fitness,Boxing,56484.12,EUR,15,48011.5,12,4077,1614759500415,ADI-SPO-002302,PROD-24BB5718,Maroon,L,Leather,6.16,174.6,45.3,12.1,2.4,18056,In Stock,Smith PLC,Taiwan,12,Sports & Fitness|Boxing|Adidas|Maroon|Leather,https://cdn.example.com/products/prod-24bb5718.jpg,2022-10-07 15:21:41,2023-04-15 15:21:41
2303,Dell Tablets Brown 42,Response situation store back these adult beautiful poor race oil argue.,Dell,Electronics,Tablets,42614.21,INR,60,17045.68,12,3605,5511390528319,DEL-ELE-002303,PROD-C161A45A,Brown,42,Rubber,12.14,147.2,129.8,18.1,2.4,20601,Limited Stock,Ford-Novak,China,0,Electronics|Tablets|Dell|Brown|Rubber,https://cdn.example.com/products/prod-c161a45a.jpg,2022-10-02 11:55:30,2023-02-05 11:55:30
2304,Wildcraft Pens Gold One Size,Speech responsibility view economy ever allow short production student moment.,Wildcraft,Books & Stationery,Pens,88180.95,INR,20,70544.76,5,4681,6366259933730,WIL-BOO-002304,PROD-D2902747,Gold,One Size,Denim,11.84,133.8,116.9,73.7,4.4,23222,In Stock,Eaton-Cruz,Japan,0,Books & Stationery|Pens|Wildcraft|Gold|Denim,https://cdn.example.com/products/prod-d2902747.jpg,2023-01-08 17:02:06,2023-12-31 17:02:06
2305,Havells Laptops Brown L,Democrat value behind explain position air condition mission specific single follow particular.,Havells,Electronics,Laptops,49768.65,INR,70,14930.6,18,3957,3184697672782,HAV-ELE-002305,PROD-4D06CA70,Brown,L,Silk,14.73,111.4,76.2,87.7,3.4,3127,Discontinued,Adams-Stewart,Germany,18,Electronics|Laptops|Havells|Brown|Silk,https://cdn.example.com/products/prod-4d06ca70.jpg,2024-11-16 21:23:14,2025-10-12 21:23:14
2306,Tommy Hilfiger Coats Green 8,Subject believe team world other movie watch may oil tax hot.,Tommy Hilfiger,Clothing,Coats,93730.88,INR,30,65611.62,28,1265,7421196951397,TOM-CLO-002306,PROD-B9913295,Green,8,Aluminium,21.53,63.0,109.4,31.1,3.1,8599,In Stock,"Hammond, Cruz and Garrison",USA,6,Clothing|Coats|Tommy Hilfiger|Green|Aluminium,https://cdn.example.com/products/prod-b9913295.jpg,2024-06-05 15:36:59,2024-09-04 15:36:59
